GDP
"Africa Eastern and Southern", 920792331527.7456
Afghanistan,20116137325.820553
Africa Western and Central,784587603322.8662
Angola,58375976292.96779
Albania,14887629268.292683
Andorra,
Arab World,2447584445275.5156
United Arab Emirates,358868765174.92444
Argentina,389288056265.3253
Armenia,12641209802.111986
American Samoa,709000000.0
Antigua and Barbuda,1370281481.4814813
Australia,1327836171068.5078
Austria,433258467676.51483
Azerbaijan,42607176470.588234
Burundi,2841786382.1906333
Belgium,521861292586.6162
Benin,15651545331.540379
Burkina Faso,17933606353.177456
Bangladesh,323056957972.31177
Bulgaria,69889347433.43239
Bahrain,34729228723.40426
"Bahamas, The",9907500000.0
Bosnia and Herzegovina,19946496562.973324
Belarus,60258239055.582886
Belize,1636280797.08056
Bermuda,6842700000.0
Bolivia,36572764862.82345
Brazil,1444733258971.6514
Barbados,4418000000.0
Brunei Darussalam,12005825769.508663
Bhutan,2315437338.0880876
Botswana,15061922801.627066
Central African Republic,2380087758.04137
Canada,1645423407568.3633
Central Europe and the Baltics,1653247533863.8062
Switzerland,752248045730.1104
Channel Islands,
Chile,252940023046.00748
China,14722730697890.1
Cote d'Ivoire,61348579465.101654
Cameroon,40804449726.01836
"Congo, Dem. Rep.",48716960860.0664
"Congo, Rep.",10187122341.405107
Colombia,271437596293.84283
Comoros,1235400352.2930975
Cabo Verde,1703698676.6974154
Costa Rica,61846895120.7808
Caribbean small states,66039332389.288414
Cuba,107352000000.0
Curacao,2595821708.813128
Cayman Islands,5591623664.946598
Cyprus,24612646487.721302
Czech Republic,245339322066.7593
Germany,3846413928653.707
Djibouti,3384385216.716089
Dominica,504214814.8148148
Denmark,356084867685.639
Dominican Republic,78844702329.07854
Algeria,145009181490.61975
East Asia & Pacific (excluding high income),17448894596355.719
Early-demographic dividend,10668243564848.344
East Asia & Pacific,27097404937164.8
Europe & Central Asia (excluding high income),3222403620453.326
Europe & Central Asia,22121578723066.83
Ecuador,98808010000.0
"Egypt, Arab Rep.",365252651278.8521
Euro area,13021049031268.67
Eritrea,
Spain,1281484640043.5833
Estonia,30650285471.721485
Ethiopia,107645054311.87555
European Union,15291934754441.568
Fragile and conflict affected situations,1508644836830.9097
Finland,269594831987.54938
Fiji,4533883782.27458
France,2630317731455.2603
Faroe Islands,
"Micronesia, Fed. Sts.",410083600.0
Gabon,15316826191.568245
United Kingdom,2759804061837.0723
Georgia,15846489610.807333
Ghana,68532281805.67221
Gibraltar,
Guinea,15681050917.156292
"Gambia, The",1868086274.8219962
Guinea-Bissau,1431758242.9037538
Equatorial Guinea,10021856754.494387
Greece,188835201625.91025
Grenada,1042100555.5555555
Greenland,
Guatemala,77604632170.5853
Guam,5844000000.0
Guyana,5471256594.72422
High income,53461077013094.65
"Hong Kong SAR, China",346585881503.6353
Honduras,23662231633.91393
Heavily indebted poor countries (HIPC),797697289590.4064
Croatia,57203783203.02589
Haiti,14508218017.403208
Hungary,155808436238.48724
IBRD only,29900583521576.805
IDA & IBRD total,32139314724146.145
IDA total,2239424393002.1978
IDA blend,961669400838.282
Indonesia,1058423838345.1445
IDA only,1278442378837.8806
Isle of Man,
India,2660245248867.6323
Not classified,
Ireland,425888950992.00275
"Iran, Islamic Rep.",203471303952.34406
Iraq,166756984395.97314
Iceland,21718075725.20538
Israel,407100736594.0644
Italy,1888709443687.476
Jamaica,13812425036.586357
Jordan,43697659295.77465
Japan,5057758958706.642
Kazakhstan,171082379532.98834
Kenya,101013726529.06319
Kyrgyz Republic,7735976272.75983
Cambodia,25808561550.951443
Kiribati,197508774.34450483
St. Kitts and Nevis,980740740.7407407
"Korea, Rep.",1637895802792.8965
Kuwait,105960225688.14532
Latin America & Caribbean (excluding high income),4035270946811.094
Lao PDR,19132635711.695717
Lebanon,31735217784.544468
Liberia,3201187800.0
Libya,25418916028.896362
St. Lucia,1616772740.7407405
Latin America & Caribbean,4725519821856.684
Least developed countries: UN classification,1113396635024.4697
Low income,459729949563.42346
Liechtenstein,
Sri Lanka,80676681933.97797
Lower middle income,7384772400818.059
Low & middle income,30993151083682.1
Lesotho,1875227642.4738364
Late-demographic dividend,22433389379277.14
Lithuania,56546957475.4912
Luxembourg,73353132793.7076
Latvia,33707320816.303596
"Macao SAR, China",25586111076.341515
St. Martin (French part),
Morocco,114725065285.14868
Monaco,6816219303.255283
